,pos,smote,pos-smote
D_7373_FIRST_EXP_DT,0.969,0.9995555555555555,-0.030555555555555558
D_7803_FIRST_EXP_DT,0.904,0.997,-0.09299999999999997
D_7809_FIRST_EXP_DT,0.819,0.99,-0.17100000000000004
D_7840_FIRST_EXP_DT,0.74,0.9777777777777777,-0.23777777777777775
D_7865_FIRST_EXP_DT,0.588,0.9446666666666667,-0.3566666666666667
D_7931_FIRST_EXP_DT,0.911,0.9916666666666667,-0.08066666666666666
D_4659_FIRST_EXP_DT,0.822,0.9675555555555555,-0.14555555555555555
D_7194_FIRST_EXP_DT,0.535,0.8661111111111112,-0.33111111111111113
D_7245_FIRST_EXP_DT,0.824,0.9856666666666667,-0.16166666666666674
D_V048_FIRST_EXP_DT,0.742,0.9562222222222222,-0.2142222222222222
D_V761_FIRST_EXP_DT,0.869,0.9713333333333334,-0.10233333333333339
D_2420_FIRST_EXP_DT,0.975,0.9964444444444445,-0.021444444444444488
D_2429_FIRST_EXP_DT,0.933,0.9877777777777778,-0.0547777777777777
D_2449_FIRST_EXP_DT,0.817,0.9896666666666667,-0.17266666666666675
D_2724_FIRST_EXP_DT,0.738,0.9613333333333334,-0.22333333333333338
D_4011_FIRST_EXP_DT,0.722,0.9597777777777777,-0.23777777777777775
D_4019_FIRST_EXP_DT,0.591,0.907,-0.31600000000000006
D_5308_FIRST_EXP_DT,0.774,0.9844444444444445,-0.21044444444444443
D_7295_FIRST_EXP_DT,0.666,0.9576666666666667,-0.29166666666666663
D_7298_FIRST_EXP_DT,0.821,0.9844444444444445,-0.1634444444444445
D_V588_FIRST_EXP_DT,0.888,0.9933333333333333,-0.10533333333333328
D_7225_FIRST_EXP_DT,0.868,0.987,-0.119
D_7242_FIRST_EXP_DT,0.725,0.9661111111111111,-0.24111111111111116
D_7862_FIRST_EXP_DT,0.748,0.9575555555555556,-0.2095555555555556
D_3000_FIRST_EXP_DT,0.758,0.9696666666666667,-0.21166666666666667
D_496__FIRST_EXP_DT,0.901,0.9938888888888889,-0.09288888888888891
D_5188_FIRST_EXP_DT,0.907,0.9952222222222222,-0.0882222222222222
D_5990_FIRST_EXP_DT,0.79,0.9787777777777777,-0.1887777777777777
D_7291_FIRST_EXP_DT,0.793,0.981,-0.18799999999999994
D_7806_FIRST_EXP_DT,0.862,0.9957777777777778,-0.13377777777777777
D_7807_FIRST_EXP_DT,0.468,0.7874444444444444,-0.31944444444444436
D_7860_FIRST_EXP_DT,0.65,0.9242222222222222,-0.27422222222222215
D_7879_FIRST_EXP_DT,0.814,0.9914444444444445,-0.17744444444444452
D_7890_FIRST_EXP_DT,0.59,0.9444444444444444,-0.35444444444444445
D_V723_FIRST_EXP_DT,0.848,0.9621111111111111,-0.11411111111111116
D_2689_FIRST_EXP_DT,0.874,0.9943333333333333,-0.12033333333333329
D_7288_FIRST_EXP_DT,0.653,0.9422222222222222,-0.28922222222222216
D_V586_FIRST_EXP_DT,0.778,0.9868888888888889,-0.2088888888888889
D_2500_FIRST_EXP_DT,0.807,0.9874444444444445,-0.1804444444444444
D_2720_FIRST_EXP_DT,0.887,0.9881111111111112,-0.10111111111111115
D_2859_FIRST_EXP_DT,0.852,0.9906666666666667,-0.13866666666666672
D_4010_FIRST_EXP_DT,0.949,0.9995555555555555,-0.050555555555555576
D_4660_FIRST_EXP_DT,0.815,0.9802222222222222,-0.16522222222222227
D_7062_FIRST_EXP_DT,0.961,0.9984444444444445,-0.0374444444444445
D_V700_FIRST_EXP_DT,0.744,0.9173333333333333,-0.17333333333333334
D_V726_FIRST_EXP_DT,0.945,0.999,-0.05400000000000005
D_5640_FIRST_EXP_DT,0.865,0.9897777777777778,-0.12477777777777777
D_7021_FIRST_EXP_DT,0.931,0.9896666666666667,-0.058666666666666645
D_7231_FIRST_EXP_DT,0.814,0.9891111111111112,-0.17511111111111122
D_7805_FIRST_EXP_DT,0.803,0.9921111111111112,-0.18911111111111112
D_7820_FIRST_EXP_DT,0.805,0.9835555555555555,-0.17855555555555547
D_4939_FIRST_EXP_DT,0.876,0.9957777777777778,-0.11977777777777776
D_7812_FIRST_EXP_DT,0.889,0.9956666666666667,-0.10666666666666669
D_5859_FIRST_EXP_DT,0.957,0.9992222222222222,-0.04222222222222227
D_7821_FIRST_EXP_DT,0.925,0.9956666666666667,-0.07066666666666666
D_7883_FIRST_EXP_DT,0.925,0.9977777777777778,-0.07277777777777772
D_2962_FIRST_EXP_DT,0.965,0.9995555555555555,-0.03455555555555556
D_4932_FIRST_EXP_DT,0.985,1.0,-0.015000000000000013
D_462__FIRST_EXP_DT,0.841,0.9873333333333333,-0.14633333333333332
D_8450_FIRST_EXP_DT,0.953,0.9988888888888889,-0.04588888888888898
D_4280_FIRST_EXP_DT,0.908,0.9946666666666667,-0.08666666666666667
D_5641_FIRST_EXP_DT,0.957,1.0,-0.04300000000000004
D_7802_FIRST_EXP_DT,0.814,0.9867777777777778,-0.1727777777777778
D_2765_FIRST_EXP_DT,0.884,0.9936666666666667,-0.10966666666666669
