,pos,smote,pos-smote
P_85652_AVG_CLAIM_CNT,0.918,0.92,-0.0020000000000000018
P_93880_AVG_CLAIM_CNT,0.928,0.9391111111111111,-0.011111111111111072
P_99222_AVG_CLAIM_CNT,0.768,0.7858888888888889,-0.017888888888888843
P_80050_AVG_CLAIM_CNT,0.902,0.9156666666666666,-0.013666666666666605
P_81025_AVG_CLAIM_CNT,0.935,0.939,-0.0039999999999998925
P_86580_AVG_CLAIM_CNT,0.97,0.9766666666666667,-0.00666666666666671
P_99420_AVG_CLAIM_CNT,0.978,0.9827777777777778,-0.00477777777777777
P_84165_AVG_CLAIM_CNT,0.97,0.974,-0.0040000000000000036
P_72148_AVG_CLAIM_CNT,0.896,0.897,-0.0010000000000000009
P_99254_AVG_CLAIM_CNT,0.904,0.9167777777777778,-0.012777777777777777
P_84439_AVG_CLAIM_CNT,0.832,0.8436666666666667,-0.011666666666666714
P_90686_AVG_CLAIM_CNT,0.97,0.9746666666666667,-0.004666666666666708
P_17000_AVG_CLAIM_CNT,0.96,0.9663333333333334,-0.006333333333333413
P_85018_AVG_CLAIM_CNT,0.961,0.9627777777777777,-0.001777777777777767
P_95811_AVG_CLAIM_CNT,0.966,0.9734444444444444,-0.007444444444444476
P_82962_AVG_CLAIM_CNT,0.952,0.9566666666666667,-0.004666666666666708
P_84550_AVG_CLAIM_CNT,0.939,0.9454444444444444,-0.006444444444444475
P_86038_AVG_CLAIM_CNT,0.942,0.9502222222222222,-0.008222222222222242
P_84484_AVG_CLAIM_CNT,0.947,0.9542222222222222,-0.007222222222222241
P_A4550_AVG_CLAIM_CNT,0.965,0.9663333333333334,-0.0013333333333334085
P_1101F_AVG_CLAIM_CNT,0.989,0.9917777777777778,-0.002777777777777768
P_95886_AVG_CLAIM_CNT,0.926,0.9347777777777778,-0.008777777777777773
P_82550_AVG_CLAIM_CNT,0.871,0.8774444444444445,-0.006444444444444475
P_98941_AVG_CLAIM_CNT,0.962,0.9635555555555556,-0.0015555555555556433
P_36620_AVG_CLAIM_CNT,0.974,0.9797777777777777,-0.005777777777777771
P_74230_AVG_CLAIM_CNT,0.99,0.9927777777777778,-0.002777777777777768
P_83891_AVG_CLAIM_CNT,0.984,0.9858888888888889,-0.00188888888888894
P_83912_AVG_CLAIM_CNT,0.983,0.9852222222222222,-0.0022222222222222365
P_95913_AVG_CLAIM_CNT,0.983,0.9854444444444445,-0.0024444444444444713
P_90862_AVG_CLAIM_CNT,0.953,0.9585555555555556,-0.005555555555555647
P_74176_AVG_CLAIM_CNT,0.91,0.9234444444444444,-0.01344444444444437
